name,mbid,url,image_small,image
Bobby Vinton,f37f26ea-6a9a-49b8-9614-bdad762f1ba6,https://www.last.fm/music/Bobby+Vinton,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Bobby,de69e711-bc6b-49b2-a826-92006936ada4,https://www.last.fm/music/Bobby,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Bobby Brown,d11f9c07-0eac-4a1f-a443-19cd0f63d5f0,https://www.last.fm/music/Bobby+Brown,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Bob Seger & The Silver Bullet Band,aeea3060-05ba-4dda-8c92-3dc899e24ce8,https://www.last.fm/music/Bob+Seger+&+The+Silver+Bullet+Band,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Bob Dylan and The Band,,https://www.last.fm/music/Bob+Dylan+and+The+Band,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Bob Mould,d7f5305a-15fc-4af4-a61b-f6f45510cc8f,https://www.last.fm/music/Bob+Mould,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Bolbbalgan4,,https://www.last.fm/music/Bolbbalgan4,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
DJ Bobo,4603ee86-4f73-471e-8fc7-4a26549ed119,https://www.last.fm/music/DJ+Bobo,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
Bob James,f4d2fc5a-cacb-47c8-b096-ee73864b1aa8,https://www.last.fm/music/Bob+James,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
"Bobby ""Blue"" Bland",66ebc271-6a26-4fe7-848b-f217da119d92,https://www.last.fm/music/Bobby+%22Blue%22+Bland,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png
